asin,title,count(reviews.asin)
B00KM10ITK,"Nokia Lumia 635 8GB Unlocked GSM 4G LTE Windows 8.1 Quad-Core Phone - Black",267
B00L4DXRS4,"Nokia 220 RM-971 Unlocked GSM 850 / 1900 Cell Phone w/ 2MP Camera - Black",55
B00LAEA8E8,"Samsung Galaxy S5 G900v 16GB Verizon Wireless CDMA Smartphone - Shimmery White",209
B00LYRY2AM,"Genuine Nokia C5-03 Unlocked Touch screen Student mobile phone Support wifi Fashionable mobile phone (Blue)",47
B00MWI4KKE,"Motorola Moto X (2nd generation) XT1097 GSM Unlocked Cellphone, 16GB, Black Soft Touch",141
B00N532C1E,"Samsung Galaxy Alpha, Charcoal Black 32GB (AT&T)",52
B00N532DU4,"Samsung Galaxy Mega 2, Brown Black 16GB (AT&T)",50
B00NACK1DG,"Samsung Galaxy Mega 6.3 I527 16GB Unlocked GSM 4G LTE Smartphone w/ 8MP Camera - Black",200
B00NFG57CW,"Nokia Lumia 830 GSM Smartphone, Black - AT&T - No Warranty",40
B00NKR9FT2,"Samsung Galaxy Note 4, Charcoal Black 32GB (Sprint)",10
B00NKR9MJA,"Samsung Galaxy Note 4, Frosted White 32GB (Sprint)",66
B00NMWYA36,"Samsung Galaxy S5 Active G870a 16GB Unlocked GSM Extremely Durable Smartphone w/ 16MP Camera - Titanium Gray",173
B00O15MWOM,"Nokia Lumia 530 White - No Contract (T-Mobile)",117
B00OAW79PS,"Samsung Galaxy S4 SGH-i337 16GB Black Mist (AT&T)",22
B00OEK6TWU,"Samsung Galaxy Note 3 N900A 32GB Unlocked GSM Octa-Core Smartphone w/ 13MP Camera - Black",176
B00OZTSY6Y,"Motorola DROID Turbo XT1254, Black Ballistic Nylon 32GB (Verizon Wireless)",162
B00PA583YA,"Motorola Moto X - 2nd Generation, Football Leather 16GB (Verizon Wireless)",53
B00PI1EZPC,"Samsung Galaxy Note Edge, Charcoal Black 32GB (Sprint)",48
B00Q8NHBWI,"Samsung Galaxy Note Edge SM-N915T 32GB for T-Mobile (Certified Refurbished)",39
B00QQPNYZ6,"Motorola Moto E Prepaid Phone (Net10)",25
B00SIB3HS0,"Samsung Galaxy S4 M919 16GB Unlocked GSM 4G LTE Quad-Core Smartphone - White Frost",9
B00TRLXO6U,"Nokia Lumia 928 32GB Unlocked GSM 4G LTE Windows Smartphone w/ 8MP Carl Zeiss Optics Camera - Black",23
B00U8F1F1A,"Motorola Nexus 6 XT1103 32GB 3G/4G LTE Factory Unlocked Cell Phone (Midnight Blue)",57
B00U8KT62A,"Samsung Galaxy S6 SM-G920F Factory Unlocked Cellphone, International Version, No Warranty 32GB, Gold",50
B00UA8JZA8,"Samsung Galaxy S6 G920F Unlocked Cell Phone - International Sourced Version - White Pearl",25
B00UZ7QJ6W,"Samsung Galaxy S4 Mini I257 16GB Unlocked GSM 4G LTE Android Smartphone w/ 8MP Camera - Black Mist",26
B00V7FWBZY,"Samsung Galaxy S6, Black Sapphire 32GB (Sprint)",10
B00V7FWEX8,"Samsung Galaxy S6 G920P 64GB Black (Sprint)",16
B00V7FWPVO,"Samsung Galaxy S6, Gold Platinum 64GB (Sprint)",10
B00V7FWWA8,"Samsung Galaxy S6 Edge, White Pearl 64GB (Sprint)",193
B00V7FWZVY,"Samsung Galaxy S6 Edge, Black Sapphire 32GB (Sprint)",12
B00VGYOY38,"Samsung Galaxy S6 G920 32GB GSM Unlocked International Smartphone, Black Sapphire",60
B00VH2TWBS,"Samsung GALAXY S6 G920 32GB Unlocked GSM 4G LTE Octa-Core Smartphone - Black Sapphire",82
B00WF988BW,"Samsung Convoy 3 SCH-U680 Rugged 3G Cell Phone Verizon Wireless",119
B00WHE2WCG,"Samsung Galaxy S6 G920A 32GB Unlocked GSM 4G LTE Octa-Core Android Smartphone with 16MP Camera - Black Sapphire",138
B00WHE2WVM,"Samsung Galaxy S6 Unlocked SM-G920A GSM Smartphone, White Pearl, 32GB",86
B00WIYFBWI,"Samsung Galaxy S6 Edge G925F 32GB Unlocked Phone - Retail Packaging - Black Sapphire",3
B00XBCUOB4,"Apple iPhone 6, GSM Unlocked, 128GB - Space Gray (Renewed)",4
B00XQVDW6Y,"Motorola Moto E LTE - No Contract Phone (U.S. Cellular)",28
B00YAE9DXM,"Samsung J1 Smartphone (Carirer Locked to Verizon LTE Prepaid)",79
B00YD5400Y,"Apple iPhone 5S 16GB GSM Unlocked, Space Gray (Renewed)",10
B00YD547Q6,"Apple iPhone 6, GSM Unlocked, 16GB - Space Gray (Renewed)",10
B00YD54GG2,"Apple iPhone 6 Plus, 16GB, Gold - For AT&T / T-Mobile (Renewed)",167
B00YD54J8W,"Apple iPhone 6 Plus, GSM Unlocked, 16GB - Space Gray (Renewed)",212
B00YD54KJK,"Apple iPhone 6 Plus, GSM Unlocked, 64GB - Gold (Renewed)",10
B00YD7GOPQ,"Apple iPhone 5S, T-Mobile, 16GB - Space Gray (Renewed)",18
B00YD7J52U,"Apple iPhone 6 Space Gray 16GB Verizon Smartphone (Renewed)",21
B00YW7L830,"Samsung Galaxy Note 3 N900v 32GB Verizon Wireless CDMA Smartphone - White (Certified Refurbished)",181
